X,Y,AIRPORT_NAME,FAACODE,ID,ASSOCCITY,DATES,AIR_TEMPERATURE,DEW_POINT,FIRST_CLOUD_LAYER,FIRST_CLOUD_LAYER_FEET,PRECIPITATION,PRESSURE,SECOND_CLOUD_LAYER,SECOND_CLOUD_LAYER_FEET,THIRD_CLOUD_LAYER,THIRD_CLOUD_LAYER_FEET,VISIBILITY,WIND_DIR_DEG,WIND_DIR_LET,WIND_GUST_K,WIND_GUST_MPH,WIND_SPEED_K,WIND_SPEED_MPH,ESRI_OID
-93.689132831815414,41.052231149281099,"Osceola Municipal
",I75,31,Osceola,2017-03-17T16:35:00.000Z,66.2,30.2,Clear,-99,NA,30.07,-99,-99,NA,-99,10,290,WNW,22,25,17,20,32
-92.493865284351926,41.226807667812579,"Oskaloosa Municipal
",OOA,32,Oskaloosa,2017-03-17T16:35:00.000Z,62.6,35.6,Clear,-99,NA,30.05,-99,-99,NA,-99,10,300,WNW,23,26,17,20,33
-92.945863450750082,41.401219010643302,"Pella Municipal
",PEA,33,Pella,2017-03-17T16:40:00.000Z,64.4,33.8,Clear,-99,NA,30.06,-99,-99,NA,-99,10,320,NW,22,25,16,18,34
-94.15955200710178,41.82794417816848,"Perry Municipal
",PRO,34,Perry,2017-03-17T16:45:00.000Z,59,28.4,Clear,-99,NA,30.09,-99,-99,NA,-99,10,290,WNW,35,40,24,28,35
-95.259151107922591,41.01069223926384,"Red Oak Municipal
",RDK,35,Red Oak,2017-03-17T16:40:00.000Z,66.2,28.4,Clear,-99,NA,30.13,-99,-99,NA,-99,10,310,NW,23,26,14,16,36
-95.833435113754064,43.208391737340499,"Sheldon Municipal
",SHL,36,Sheldon,2017-03-17T16:40:00.000Z,42.8,39.2,Broken,2800,NA,30.13,-99,-99,NA,-99,10,310,NW,33,38,26,30,37
-95.413857753028196,40.751813237775373,"Shenandoah Municipal
",SDA,37,Shenandoah,2017-03-17T16:40:00.000Z,66.2,32,Clear,-99,NA,30.13,-99,-99,NA,-99,10,330,NNW,17,20,10,12,38
-95.240496252292871,42.598181716032741,"Storm Lake Municipal
",SLB,38,Storm Lake,2017-03-17T16:45:00.000Z,51.8,35.6,Clear,-99,NA,30.11,-99,-99,NA,-99,10,310,NW,32,37,25,29,39
-92.02530346868997,42.218448513728688,"Vinton Veterans Memorial
",VTI,39,Vinton,2017-03-17T16:40:00.000Z,53.6,39.2,Clear,-99,NA,30.03,-99,-99,NA,-99,10,300,WNW,20,23,11,13,40
-91.675061967259978,41.27509902442447,"Washington Municipal
",AWG,40,Washington,2017-03-17T16:40:00.000Z,62.6,33.8,Clear,-99,NA,30.04,-99,-99,NA,-99,10,300,WNW,27,31,21,24,41
-93.869042799687307,42.436704631417747,"Webster City Municipal
",EBS,41,Webster City,2017-03-17T16:40:00.000Z,51.8,41,Clear,-99,NA,30.05,-99,-99,NA,-99,10,310,NW,32,37,26,30,42
