OBJECTID,POP1990,POP2000,ALLCRASH,FCRASH,MACRASH,MICRASH,POCRASH,PDOCRASH,TPROPDMG,ALLINJS,TFATALITY,TMAJINJ,TMININJ,TPOSSINJ,TUNKINJ,ALCDRUGCR,ALCDRUGFCR,ALCDRUGMCR,ALCDRUGFAT,ALCDRUGMAJ,ALCDRUGINJ,ALCDRUGFI,ALCOCR,ALCOFCR,ALCOMCR,ALCOFAT,ALCOMAJ,ALCOINJ,ALCOFI,MOTOCR,MOTOFCR,MOTOMCR,MOTOFAT,MOTOMAJ,MOTOINJ,MOTOFI,PEDCR,PEDFCR,PEDMCR,PEDFAT,PEDMAJ,PEDINJ,PEDFI,BIKECR,BIKEFCR,BIKEMCR,BIKEFAT,BIKEMAJ,BIKEINJ,BIKEFI,SBUSCR,SBUSFCR,SBUSMCR,SBUSFAT,SBUSMAJ,SBUSINJ,SBUSFI,NBUSCR,NBUSFCR,NBUSMCR,NBUSFAT,NBUSMAJ,NBUSINJ,NBUSFI,TRKCR,TRKFCR,TRKMCR,TRKFAT,TRKMAJ,TRKINJ,TRKFI,HTRKCR,HTRKFCR,HTRKMCR,HTRKFAT,HTRKMAJ,HTRKINJ,HTRKFI,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,YEAR,COUNTY,COUNTYNAME,POP2010
997,19612,20670,233,1,15,29,36,152,1325022,111,1,19,41,49,2,12,0,2,0,4,11,11,10,0,1,0,3,9,9,7,0,4,0,5,3,3,3,0,0,0,0,3,3,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,15,9,0,0,0,0,9,9,17,27,14,16,15,17,18,17,27,20,22,23,13,3,5,23,19,24,25,35,30,18,17,21,2011,92,Washington,0
1077,19094,18812,197,5,7,18,31,136,1156021,84,5,8,35,38,3,11,0,1,0,1,11,11,8,0,1,0,1,7,7,3,0,0,0,0,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,24,1,1,1,1,24,25,19,0,1,0,1,18,18,17,20,17,9,12,11,16,12,24,14,21,24,13,2,7,20,27,16,24,20,13,15,23,17,2011,42,Hardin,0
1078,21843,22008,291,1,11,28,43,208,1476913,116,1,14,40,53,9,16,1,2,1,2,23,24,15,0,2,0,2,22,22,10,0,2,0,2,8,8,1,0,1,0,1,0,0,2,0,0,0,0,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,21,0,2,0,2,19,19,11,0,1,0,1,10,10,34,22,13,17,24,24,25,26,25,21,24,36,12,6,13,26,26,34,25,39,44,29,24,13,2011,33,Fayette,0
1079,9809,9932,109,2,5,8,8,86,580937,29,2,6,11,7,5,8,0,1,0,1,7,7,7,0,1,0,1,6,6,0,0,0,0,0,0,0,2,1,1,1,2,3,4,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,9,9,5,0,0,0,0,5,5,13,8,7,7,5,11,2,6,6,13,17,14,9,1,4,9,12,8,11,9,5,20,16,5,2011,45,Howard,0
1080,22813,23325,341,1,8,29,40,263,1799758,108,1,10,35,58,5,13,0,0,0,0,14,14,13,0,0,0,0,14,14,7,0,2,0,3,5,5,3,1,0,1,0,3,4,2,0,0,0,0,2,2,2,1,0,1,0,2,3,1,0,0,0,0,1,1,17,0,2,0,2,17,17,10,0,1,0,1,10,10,39,30,20,26,24,28,21,19,22,35,38,39,10,7,16,23,40,29,29,41,43,44,35,24,2011,9,Bremer,0
1081,20844,21093,292,1,7,32,39,213,1725555,111,1,8,43,58,2,12,0,3,0,3,11,11,11,0,3,0,3,10,10,5,0,1,0,1,4,4,0,0,0,0,0,0,0,4,0,0,0,0,4,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,34,0,1,0,1,38,38,22,0,1,0,1,23,23,33,26,14,19,18,27,26,23,23,27,28,28,12,11,13,37,22,18,20,44,44,34,17,20,2011,10,Buchanan,0
1162,7676,7809,75,0,6,10,18,41,378843,35,0,6,10,17,2,5,0,2,0,2,3,3,4,0,1,0,1,3,3,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,4,4,1,0,0,0,0,1,1,3,9,7,10,7,7,8,6,1,5,9,3,7,2,2,7,12,4,2,10,9,10,6,4,2012,89,Van Buren,0
1163,17419,18103,237,2,4,18,32,181,1424187,78,2,8,23,44,3,14,1,1,1,3,16,17,13,1,0,1,0,16,17,6,0,2,0,3,7,7,2,1,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,15,15,11,0,0,0,0,13,13,12,18,9,17,17,21,19,12,20,28,35,29,16,14,8,19,14,15,22,16,31,41,27,14,2012,86,Tama,0
1164,168767,191701,3071,17,63,319,514,2158,18762149,1182,18,69,422,665,26,194,7,13,7,17,212,219,167,4,12,4,15,177,181,100,7,11,8,13,99,107,29,0,7,0,8,22,22,23,0,2,0,2,21,21,18,0,0,0,0,23,23,17,0,0,0,0,18,18,171,2,5,2,5,172,174,97,1,3,1,3,98,99,275,256,212,197,264,244,235,247,246,312,275,308,87,64,53,273,279,297,374,463,557,298,177,149,2012,57,Linn,0
1165,22429,25308,245,3,16,33,37,156,1625226,124,3,17,46,59,2,20,2,3,2,3,22,24,14,1,3,1,3,16,17,7,0,3,0,3,5,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,0,19,19,10,0,0,0,0,10,10,15,26,18,16,25,21,22,17,22,19,21,23,8,10,8,35,18,24,25,22,27,31,23,14,2012,6,Benton,0
